Replicate,Target,Top25,n_klan,n_racial_electoral,n_state_terror
25,terrorist,"discernible, compulsory, sympathizer, wholesale_scale, brigandage, solitary_confinement, deter, wild_excitement, continental, australian, reign_terror, gigantic, hateful, amply_sufficient, espionage, legalize, object_attain, surprising, ostracism, pacific_island, shameful, feel_insecurity, surveillance, mosquito_net, widespread",0,0,1
26,terrorism,"reign_terror, voter_register, interesting_alabama, supplementary, close_relationship, alabama, beneficial_effect, refusal_obey, perish, crime_commit, groundless, division, riot_tumult, aureus, scout, louisiana_mississippi, members_congress, corrupt_practice, harris, test_oath, popular_feeling, inherent_weakness, committees, color_voter, unjust",0,2,1
26,terrorist,"brute_force, strong_feeling, broadcast, brigandage, st, military_dictatorship, landlordism, intent_purpose, perversion, pretence, intimidation, peace_prosperity, outrage, irresponsible, wild_excitement, protective, originality, indemnity, repression, merciless, corruption, hateful, congress_adjourn, legalize, hamburg",0,1,2
27,terrorism,"quite_different, friable, ratio, color_voter, qualified_voter, military_commander, aureus, debtor, difficultie, tov, tardy, dram, public_opinion, fifteen, theywere, budget, florida_louisiana, willing_entertain, throughout_entire, sterner_measure, senator_norton, instructive, governmental_power, tete, anywhere_world",0,1,0
27,terrorist,"brute_force, respectfully_urge, banishment, illegal, virtual, lawless, mississippi_louisiana, prior_arrival, widespread, terror, riot_disorder, discretion, prevent, strong_feeling, vigorous_measure, carnival, landlordism, violence_intimidation, reservation, atrocity, elective_franchise, irresponsible, fruitful, riot_tumult, amply_sufficient",0,1,1
28,terrorism,"white_plains, selection_candidate, proscription, resent, cleaning, civil_liberty, adroit, arkansas, depopulate, brutally_murder, indignity, congressional_committee, pretence, dishonesty, unanimously, fasten, lawlessness, subversive, warehouse_parish, uphold, epidemic, extreme_caution, murder, border_ruffian, bandit",0,1,0
28,terrorist,"solemn_responsibility, rent_payment, stony_follow, sauce, strong_feeling, espionage, disadvantage, repression, landlordism, fraud_intimidation, careful_examination, feel_insecurity, intimidation, violence_bloodshed, freebooter, intent_purpose, sort_monroe, fateful, rationally, act_violence, strong_enough, corrupting, fraud, croquettes, ignorance",0,2,1
29,terrorism,"tov, testimony, florida_louisiana, helpless_unable, firmly_resist, qualified, georgia_alabama, kidnapping, arkansas, god_sake, alabama, constitutional_convention, turn_loose, troops, colored_vote, resolution, detailed, lie_contiguous, kentucky_tennessee, oxford_miss, stile, letters_times, supervisor, free_fair, alabama_arkansas",0,6,0
29,terrorist,"reestablish, reign_terror, military_dictatorship, repression, constitutional_restraint, oppression, twentyfive_mile, despotic, wholesale_scale, tranquility, infect, riot_disorder, strong_feeling, outrage, audacity, outrage_commit, gigantic, become_accustomed, wrong, abridge, armed_band, impunity, ream, lawless, attempt_conceal",0,0,3
30,terrorism,"infest, unauthorized, arkansas, silliness, quantity_arm, verbally, snip, ohio_indiana, flagrant_instance, garb, difficultie, endangered, orange, reformers, italians, false_accusation, abdul, murderous, arouse_apprehension, foreign_minister, public_safety, retribution_mete, bosoms, stun, riots",0,1,0
30,terrorist,"utmost_care, browbeat, wholesale_scale, reign_terror, espionage, framed, strong_feeling, itchy, retribution_mete, violence, settle_score, intimidation, verbally, irregularity, insurrection_domestic, manifested, inert, exaggerated, rationally, corruption, illegal, infest, brigandage, solitary_confinement, widespread",0,1,1
31,terrorism,"east_west, snap_judgment, democratic_reform, house_representatives, governor_louisiana, clear, insane_asylum, accurately, test_oath, furnish_conclusive, aught, outrage, modification, radicalism, bleach, nut, impudent, illusory, orange, serious_mistake, ann, tending, intelligent_honest, duplicate, terrorist",0,0,0
31,terrorist,"proscription, restrain, military_dictatorship, strong_feeling, entitle_respect, broadcast, brute_force, terror, ostracism, espionage, repression, congress_adjourn, reign_terror, act_violence, presumptive, heroism, combination, riot_disorder, radicalism, anxious_avoid, ex_change, violence_intimidation, drawer_water, martial_law, outrage",0,0,3
32,terrorism,"depopulate, klan, incident, nationalists, dixon, perish, estates, levy, amour, grand_juries, intima_nation, outfit, fair_election, danville, murderous, instigation, peace_prosperity, policy_toward, predominant, varnish, generously, england_scotland, riot_tumult, legally_qualified, violence_intimidation",1,2,0
32,terrorist,"strong_feeling, chaos_confusion, harmonise, reign_terror, freebooter, peace_prosperity, careful_examination, violence, seem_likely, persecution, feel_insecurity, freedmen, public_school, mississippi_louisiana, destruction_property, st, brigand, thunder_lightning, political_opponent, bravado, ingratitude, dominance, ostracism, federal_officeholder, dread",0,1,1
33,terrorism,"deprive, secede, south_carolina, nullify, arkansas, governmental_power, traitorous, purge, rational, distinction, public_sentiment, evince_spirit, averse, politicians, accession, summarily, criminal_prosecution, tyranny_injustice, councils, belong, ally, minimize, crime_commit, exclusion, partisan",0,1,0
33,terrorist,"incentive, public_school, object_attain, colored_vote, congress_adjourn, utmost_care, susceptible_proof, brute_force, hilton, violence_bloodshed, repression, noise, class_citizen, disbelieving, degenerate, terror, faith, brigandage, accomplishment, heretic, ire, bloodshed, exert_influence, perilous, unlawful",0,1,2
